Date,Open,High,Low,Close,Adj Close,Volume
2022-12-13,150.000000,150.199997,146.740005,147.490005,146.887970,7802700
2022-12-14,147.089996,148.529999,145.960007,146.669998,146.071304,6778200
2022-12-15,145.580002,146.419998,143.630005,145.360001,144.766647,5838000
2022-12-16,144.479996,144.720001,142.570007,142.750000,142.167313,13447700
2022-12-19,143.009995,143.559998,141.729996,142.800003,142.217102,5022500
2022-12-20,142.919998,144.639999,142.250000,144.050003,143.462006,5669800
2022-12-21,144.320007,145.940002,144.259995,145.179993,144.587387,4575500
2022-12-22,144.770004,144.979996,141.929993,143.479996,142.894318,4360800
2022-12-23,143.050003,143.800003,142.279999,143.770004,143.183151,3182500
2022-12-27,144.039993,144.449997,143.190002,143.809998,143.222977,3348200
2022-12-28,143.470001,143.669998,140.910004,141.289993,140.713257,5082100
2022-12-29,142.139999,143.020004,141.750000,142.149994,141.569748,3057300
2022-12-30,141.559998,141.990005,140.809998,141.789993,141.211227,3835300
2023-01-03,142.550003,143.710007,142.089996,143.600006,143.013840,5749900
2023-01-04,143.419998,144.050003,142.070007,143.759995,143.173187,4446100
2023-01-05,143.460007,144.130005,142.649994,143.270004,142.685196,4424800
2023-01-06,144.600006,147.550003,144.240005,146.779999,146.180862,7077300
2023-01-09,146.320007,147.860001,144.800003,144.949997,144.358322,5918900
2023-01-10,144.940002,145.449997,143.729996,144.860001,144.268692,3990200
2023-01-11,145.740005,146.179993,144.729996,146.130005,145.533524,4944900
2023-01-12,146.410004,146.419998,144.389999,144.809998,144.218903,4157600
2023-01-13,145.529999,145.820007,143.860001,145.289993,144.696930,4566600
2023-01-17,145.289993,145.710007,144.199997,144.410004,143.820541,5040800
2023-01-18,144.199997,144.250000,140.479996,140.839996,140.265106,7558100
2023-01-19,141.389999,141.529999,138.789993,138.830002,138.263306,5780700
2023-01-20,139.399994,140.779999,138.169998,140.539993,139.966324,9847700
2023-01-23,140.460007,143.009995,140.199997,142.639999,142.057755,4383300
2023-01-24,146.550003,146.550003,141.000000,143.020004,142.436203,4556400
2023-01-25,142.240005,142.839996,140.389999,142.339996,141.758972,4163900
2023-01-26,143.029999,143.750000,141.759995,142.210007,141.629517,5273000
2023-01-27,142.600006,144.470001,141.750000,143.300003,142.715073,6137600
2023-01-30,142.119995,142.449997,141.270004,142.149994,141.569748,5299200
2023-01-31,142.320007,143.880005,141.660004,143.869995,143.282730,4701200
2023-02-01,143.660004,145.610001,142.699997,144.669998,144.079468,4283100
2023-02-02,144.410004,144.860001,142.940002,143.619995,143.033752,5935600
2023-02-03,143.360001,143.960007,140.860001,141.710007,141.131561,5718500
2023-02-06,141.820007,142.100006,140.029999,140.679993,140.105743,5818000
2023-02-07,139.770004,141.300003,138.690002,140.979996,140.404526,5447100
2023-02-08,140.330002,141.100006,139.990005,140.220001,139.647644,3897100
2023-02-09,140.869995,141.940002,140.570007,141.520004,140.942337,4354800
2023-02-10,143.089996,143.940002,142.169998,143.720001,143.133347,5000900
2023-02-13,144.710007,146.119995,144.509995,145.910004,145.314407,5338600
2023-02-14,145.729996,147.130005,144.559998,145.490005,144.896133,4610400
2023-02-15,144.960007,146.600006,144.559998,146.570007,145.971725,4891400
2023-02-16,145.479996,145.990005,144.179993,144.270004,143.681107,5437400
2023-02-17,145.110001,146.690002,144.570007,146.440002,145.842255,8256900
2023-02-21,142.880005,148.339996,142.149994,147.330002,146.728607,18131300
2023-02-22,146.770004,147.570007,142.759995,144.240005,143.651230,9948000
2023-02-23,144.369995,144.369995,140.710007,142.089996,141.509995,7340400
2023-02-24,140.839996,142.740005,139.529999,142.470001,141.888458,6874500
2023-02-27,142.710007,143.089996,140.660004,141.440002,140.862656,5549100
2023-02-28,141.000000,142.649994,140.949997,142.130005,141.549850,6018000
2023-03-01,141.059998,141.279999,139.369995,140.149994,139.577911,4726700
2023-03-02,139.839996,140.740005,139.500000,140.500000,139.926498,4928500
2023-03-03,141.039993,141.190002,139.770004,140.669998,140.095795,5629600
2023-03-06,140.500000,140.979996,140.020004,140.649994,140.075867,5573600
2023-03-07,141.179993,141.679993,138.789993,139.250000,138.681595,5795800
2023-03-08,138.559998,138.919998,137.279999,138.100006,137.536301,6363600
2023-03-09,138.830002,138.979996,136.919998,137.169998,136.610077,5138600
2023-03-10,137.020004,138.279999,136.089996,136.970001,136.410904,6688400
2023-03-13,136.679993,138.500000,136.580002,137.369995,136.809265,9380700
2023-03-14,137.690002,138.270004,137.000000,138.100006,137.536301,8514200
2023-03-15,136.889999,139.809998,136.710007,139.639999,139.070007,11044500
2023-03-16,139.429993,139.649994,137.880005,138.279999,138.279999,9635200
2023-03-17,138.190002,139.490005,137.589996,139.399994,139.399994,14360400
2023-03-20,140.100006,141.919998,139.809998,140.899994,140.899994,11309500
2023-03-21,141.389999,141.389999,139.529999,140.419998,140.419998,6337800
2023-03-22,140.639999,141.220001,139.460007,139.520004,139.520004,6182800
2023-03-23,140.199997,141.610001,139.490005,140.649994,140.649994,7348100
2023-03-24,141.009995,142.470001,140.600006,141.800003,141.800003,7584100
2023-03-27,142.789993,144.979996,142.779999,144.169998,144.169998,8925200
2023-03-28,143.649994,144.410004,143.050003,143.610001,143.610001,7094300
2023-03-29,144.369995,144.960007,143.449997,144.229996,144.229996,8072300
2023-03-30,145.500000,146.600006,145.020004,145.669998,145.669998,7293000
2023-03-31,146.580002,148.440002,146.470001,147.449997,147.449997,6954400
2023-04-03,147.729996,148.949997,147.500000,148.690002,148.690002,6588900
2023-04-04,148.529999,148.789993,147.020004,147.229996,147.229996,6037900
2023-04-05,147.169998,149.880005,147.139999,149.669998,149.669998,8846900
2023-04-06,148.800003,151.039993,148.520004,150.800003,150.800003,5963900
2023-04-10,150.360001,151.119995,149.770004,150.509995,150.509995,4839700
2023-04-11,151.000000,151.000000,149.619995,150.070007,150.070007,6123500
2023-04-12,149.789993,150.970001,149.169998,149.339996,149.339996,3736600
2023-04-13,149.649994,150.000000,148.199997,149.490005,149.490005,4424200
2023-04-14,149.029999,149.889999,148.149994,148.479996,148.479996,3488300
2023-04-17,148.639999,149.669998,148.500000,149.520004,149.520004,5388900
2023-04-18,149.779999,150.339996,149.440002,149.850006,149.850006,4494100
2023-04-19,150.839996,151.410004,149.770004,150.009995,150.009995,4144500
2023-04-20,150.210007,151.389999,149.600006,150.970001,150.970001,4547200
2023-04-21,151.960007,152.300003,151.179993,151.729996,151.729996,8445000
2023-04-24,151.710007,152.949997,151.710007,152.759995,152.759995,4526500
2023-04-25,153.289993,153.750000,151.330002,151.570007,151.570007,5748900
2023-04-26,150.979996,151.410004,150.220001,150.910004,150.910004,4303400
2023-04-27,150.779999,151.940002,150.779999,151.380005,151.380005,4287000
2023-04-28,151.289993,152.169998,150.179993,150.970001,150.970001,4693900
2023-05-01,151.039993,152.539993,150.929993,151.589996,151.589996,3803200
